District,District_xml,target,P_CODE,X_COORD,Y_COORD
Berbera,,2,NC-3807-G15-001,45.66826,10.72478
Berbera,,1,NC-3810-B31-001,44.8889,9.9574
Berbera,,1,NC-3806-V30-001,44.84789,10.17101
Berbera,,3,NC-3807-W01-001,45.02089,10.13499
Berbera,,3,NC-3807-M05-001,45.20036,10.54164
Berbera,,3,NC-3807-P01-006,45.02152,10.4427
Berbera,,1,NC-3806-Y25-001,44.61969,10.04668
Berbera,,3,NC-3807-V22-001,45.98515,10.176
Berbera,,2,NC-3807-V22-002,45.98347,10.17478
Berbera,,1,NC-3806-Y33-001,44.98405,10.05142
Berbera,,5,NC-3807-N06-001,45.25248,10.45891
Berbera,,1,NC-3807-W01-002,45.02249,10.1313
Gebiley,,3,NC-3810-Q01-001,43.51775,9.38695
Gebiley,,1,NC-3809-J32-003,43.41275,9.64491
Gebiley,,1,NC-3806-Z05-002,43.68967,10.02025
Gebiley,,1,NC-3810-H07-003,43.79816,9.7051
Borama,,5,NC-3809-D28-001,43.26267,9.86925
Gebiley,,1,NC-3810-H05-001,43.71465,9.70156
Gebiley,,3,NC-3810-C02-001,43.58078,9.89471
Gebiley,,2,NC-3809-G32-002,43.43142,9.74861
Gebiley,,1,NC-3809-H30-001,43.35255,9.70392
Gebiley,,1,NC-3806-Y07-001,43.78542,10.04427
Gebiley,,1,NC-3810-N01-001,43.53464,9.4922
Gebiley,,1,NC-3809-H31-001,43.37201,9.70395
Gebiley,,2,NC-3809-E33-001,43.47594,9.82412
Gebiley,,1,NC-3809-F31-003,43.3722,9.75852
Gebiley,,2,NC-3810-F06-001,43.7514,9.75985
Gebiley,,2,NC-3809-F30-001,43.36046,9.75529
Gebiley,,2,NC-3809-K29-001,43.30041,9.61466
