"X_uuid","region","district","settlement","X_observation_gps_longitude","X_observation_gps_latitude"
"6b52959d-be42-4867-bc03-201bfe2df763","Galgaduud","Cabudwaaq","NB-3807-U27-001","46.20646297931671","6.230717897415161"
"faf799e1-1b1d-4905-b4fd-660374fd6b3c","Galgaduud","Cabudwaaq","NB-3807-U27-001","46.20002567768097","6.253559589385986"
"6f9d3921-e5ff-487d-9c8d-004aadf40ad2","Galgaduud","Cabudwaaq","NB-3807-U27-001","46.199355125427246","6.253366470336914"
"6239e056-e762-4787-ac66-2e8224e343b1","Galgaduud","Cabudwaaq","NB-3807-U27-001","46.19907081127167","6.252765655517578"
"2886a98c-04e0-4fe6-8211-92482e55d672","Galgaduud","Cabudwaaq","NB-3807-U27-001","46.19878113269806","6.251901984214783"
"fa57571d-ef9e-4c1d-ae92-f9c3c81b7791","Galgaduud","Cabudwaaq","NB-3807-U27-001","46.19970917701721","6.252669095993042"
"84c4646f-ce75-434e-94dd-511edb8e2792","Galgaduud","Dhuusamarreeb","NB-3811-N29-001","46.29856049","5.45858248"
"51d4aebd-9c5e-4284-91d7-f2d5c406a55d","Galgaduud","Dhuusamarreeb","NB-3811-N29-001","46.29796393","5.45793516"
"b6d02690-ec81-4dd9-a275-a8946fdd4772","Galgaduud","Dhuusamarreeb","NB-3811-N29-001","46.29073932","5.45212026"
"2fbf8d4f-465b-4537-a590-79ead3b80cbd","Galgaduud","Dhuusamarreeb","NB-3811-N29-001","46.280448507731855","5.444424086964429"
"17fdd093-1d05-40f0-a12c-3996f13653ed","Galgaduud","Dhuusamarreeb","NB-3811-N29-001","46.28126630122299","5.444396213840087"
"1b45f33b-5fad-48ee-921d-a8e2876b978b","Middle Shabelle","Cadale","NA-3807-F30-001","46.32169864914158","2.7605644213866807"
"d59e1787-cb70-4cd1-8948-1ba53f980253","Middle Shabelle","Cadale","NA-3807-F30-001","46.32156271185394","2.7610790333604065"
"1c2c216f-fe1a-451b-9db5-7437b30f9cf6","Middle Shabelle","Cadale","NA-3807-F30-001","46.321099532158016","2.75916337236241"
"7907acd0-c61f-48c3-9070-d3605b3aafff","Middle Shabelle","Cadale","NA-3807-F30-001","46.3222039016187","2.7610425147952546"
"93fde5b4-d499-4704-b8b2-cb59023c9528","Middle Shabelle","Cadale","NA-3807-F30-001","46.320735265661376","2.7588492948446723"
"c04c0c65-6380-4d94-829b-83004750ad3e","Middle Shabelle","Cadale","NA-3807-F30-001","46.32295396894035","2.760416909266509"
"0b7c7b43-e1ae-4f5b-b5f8-2913f77647b0","Middle Shabelle","Cadale","NA-3807-F30-001","46.320841307365704","2.759039799992236"
"1301d155-6235-44b9-bfd4-b6166aae5e26","Middle Shabelle","Cadale","NA-3807-F30-001","46.323793417838154","2.7593426075935197"
"592bc4d5-ccd9-47bd-8259-b523a3439bb5","Middle Shabelle","Cadale","NA-3807-F30-001","46.32194048651806","2.7586657938027748"
"ecb9a0f5-fe5d-4411-b9da-ed9a4494dcd5","Middle Shabelle","Cadale","NA-3807-F30-001","46.31687365118247","2.764582113676336"
"78950c73-3c71-402c-bd0e-7d1729e7d109","Middle Shabelle","Cadale","NA-3807-F30-001","46.321679276351944","2.7590019635630436"
"3d113dbd-bb46-4c07-82b8-72d1a19f081a","Middle Shabelle","Cadale","NA-3807-F30-001","46.322236085639354","2.758792026957168"
"8b1ca4e3-5f17-4b0c-b54b-6f83cefe5a7b","Middle Shabelle","Cadale","NA-3807-F30-001","46.31482221102234","2.7653452638921174"
"449bf44b-3c71-4c19-b139-3a154edbb436","Middle Shabelle","Cadale","NA-3807-F30-001","46.315979268277054","2.764006113516665"
